추천연월,테마,대상,책제목,주제구분,지은이,발행사,발행년도,ISBN,청구기호
2013-09,,초등고학년,잡을 테면 잡아 봐,문학,원유순 글 ;윤봉선 그림,시공사,2013,9788952768964,아813.7-13-354
2013-09,,초등고학년,조선시대 초상화에 숨은 비밀 찾기,예술,최석조 글,책과함께,2013,9788997735198,아653-13-34
2013-09,,초등고학년,으랏차차 뚱보 클럽,문학,글쓴이: 전현정 ;그린이: 박정섭,비룡소,2013,9788949121482,아813.7-13-316
2013-08,,초등고학년,똥칠이 실종 사건,문학,박현숙 글 ;이제 그림,샘터사,2012,9788946416871,아813.7-13-38
2013-08,,초등고학년,고양이네 미술관,예술,글: 강효미 ;그림: 강화경,루크하우스,2012,9788997174317,아653-12-16
2013-08,,초등고학년,소녀소년 평등 탐구생활 : 착한 사회를 위한 양성평등 이야기,사회과학,양해경 글 ;권송이 그림,파란자전거,2013,9788994258553,아337-13-1
2013-07,,초등고학년,게임왕,문학,선자은 지음 ;나오미양 그림,문학과지성사,2013,9788932023816,아813.7-13-74
2013-07,,초등고학년,"(장복이, 창대와 함께하는) 열하일기",문학,박지원 원작 ;강민경 글 ;최현묵 그림,한국고전번역원,2013,9788928401628,아813.5-13-64
2013-07,,초등고학년,(무량수전 배흘림기둥의 아름다움을 전한) 혜곡 최순우,역사,이혜숙 글 ;이용규 그림,샘터사,2013,9788946416413,아998.6-13-5
2013-06,,초등고학년,5학년 5반 아이들,문학,윤숙희 지음,푸른책들,2013,9788957983317,아813.7-13-17
2013-06,,초등고학년,여름 캠프에서 무슨 일이?,문학,고정욱 글 ;이광익 그림,김영사,2012,9788934958642,아813.7-12-456
2013-06,,초등고학년,명화를 남긴 최고의 화가들,예술,"글: 루스 브록클허스트,로지 디킨슨,에비게일 휘틀리 ;옮김: 한지희 ;삽화: 마크 비치",이퍼블릭,2012,9788964808771,아653-13-6
2013-05,,초등고학년,시간 가게,문학,이나영 글 ;윤정주 그림,문학동네,2013,9788954620260,아813.7-13-63
2013-05,,초등고학년,개성빵,문학,문영숙 글 ;이상윤 그림,아이앤북,2013,9788997430307,아813.7-13-123
2013-05,,초등고학년,(5학년 2반 오마리) 외교관 되다,사회과학,김유리 글 ;송진욱 그림,김영사,2012,9788934955399,아321-12-2-1
2013-04,,초등고학년,"할머니, 왜 하필 열두 동물이에요?",사회과학,배유안 글 ;허구 그림,책과함께,2012,9788991221956,아380-12-2
2013-04,,초등고학년,똘망똘망 왕국의 비밀,문학,김미숙 지음 ;윤지영 그림,우리교육,2013,9788980408696,아813.7-13-80
2013-04,,초등고학년,복지 논쟁,사회과학,류재숙 글 ;박종호 그림,풀빛,2012,9788974743840,아338-13-1
2013-03,,초등고학년,(역사와 미술이 재밌어지는) 김홍도 갤러리,예술,글: 이광표 ;그림: 채원경,그린북,2012,9788955882414,아653-13-1
2013-03,,초등고학년,(어린이를 위한) 정치란 무엇인가,사회과학,이은재 글 ;김지안 그림,김영사,2012,9788934960942,아340-12-12
2013-03,,초등고학년,장바구니는 왜 엄마를 울렸을까?,사회과학,석혜원 글 ;김진이 그림,풀빛,2012,9788974747008,아320-12-10
2013-02,,초등고학년,열한 살의 가방,문학,황선미 글 ;김중석 그림,조선에듀케이션,2012,9788966660391,아813.7-12-716
2013-02,,초등고학년,공자 아저씨네 빵가게,철학,김선희 글 ;강경수 그림 ;황희경 도움글,김영사,2012,9788934956082,아152-12-1
2013-02,,초등고학년,(오천 년 한반도 역사 속을 달리는) 한국사버스,역사,박찬구 글 ;서선미 그림,니케주니어,2012,9788998062002,아911-12-68
2013-01,,초등고학년,(KBS 아나운서가 전하는) 바른 우리말 사용설명서,어학,KBS 아나운서실 한국어연구회 글 ;김상인 그림,김영사,2012,9788934958130,아711-12-12
2013-01,,초등고학년,하나뿐인 친구,문학,실뱅 뫼니에 지음 ;엘리자베스 E. 파스칼 그림 ;유병수 옮김,별천지,2011,9788994041377,아863-11-73
2013-01,,초등고학년,"(해상왕) 장보고, 바다 실크로드에서 활약하다",역사,조혜진 지음,아카넷주니어,2012,9788997296057,아998.3-12-6
2012-12,,초등고학년,우리 동네 전설은 : 한윤섭 장편동화,문학,지은이: 한윤섭 ;그린이: 홍정선,창비,2012,9788936442682,아813.7-12-553
2012-12,,초등고학년,세상을 바꾼 착한 부자들,사회과학,"글: 서지원, 정우진, 나혜원, 조선학, 유시나",루크하우스,2012,9788997174287,아338-12-1
2012-12,,초등고학년,(과학선생님이 들려주는) 원자력과 방사능 이야기,,지은이: 윤창주,일진사,2012,9788942913039,아400-11-78-7
2012-11,,초등고학년,사람은 무엇으로 사는가 외,문학,레프 N. 톨스토이 원작 ;유영소 글 ;송지영 그림,웅진씽크빅,2012,9788901142135,아808.3-12-87-27
2012-11,,초등고학년,차이나 책상귀신,문학,권타오 글 ;신민재 그림,교학사,2012,9788909177443,아813.7-12-359
2012-11,,초등고학년,돈의 비밀 : 돈으로 읽는 세계 경제 이야기,사회과학,키라 버몬드 지음 ;클레이턴 한머 그림 ;정미영 옮김,봄나무,2012,9788992026857,아320-12-28
2012-10,,초등고학년,괴테의 젊은 베르터의 슬픔 : 꿈과 사랑과 절망에 부치는 편지,문학,글: 김경후 ;그림: 김서영,웅진씽크빅,2012,9788901139166,아853-12-29
2012-10,,초등고학년,실패의 전문가들 : 우리 시대 멘토들이 들려 주는 위대한 실패 이야기,역사,"정유리,정지영 글 ;김경찬 그림",샘터사,2012,9788946416239,아991.1-12-4
2012-10,,초등고학년,수학 귀신의 집 : 시끌벅적 수와 저절로 계산,순수과학,김선희 글 ;이남지 그림,살림출판사,2012,9788952218032,아410-12-89-1
2012-09,,초등고학년,천사를 미워해도 되나요? : 최나미 동화집,문학,지은이: 최나미 ;그린이: 홍정선,한겨레출판,2012,9788984315778,아813.7-12-276
2012-09,,초등고학년,"(강치가 들려주는) 우리 땅, 독도 이야기",역사,신현배 글 ;홍정혜 일러스트,가문비,2012,9788991980884,아911.82-12-3
2012-09,,초등고학년,"가야의 딸, 마들 : 김하늬 장편동화",문학,글: 김하늬 ;그림: 백대승,한우리북스,2011,9788993260526,아813.7-12-167
2012-08,,초등고학년,귀서각 : 한밤에 깨어나는 도서관,문학,보린 글 ;오정택 그림,문학동네,2011,9788954614504,아813.7-11-251
2012-08,,초등고학년,피터히스토리아. 1~2,역사,교육공동체 나다; 송동근,북인더갭,2011,9788996442028,아909-11-27-1
2012-08,,초등고학년,서찰을 전하는 아이,문학,한윤섭 글 ;백대승 그림,푸른숲,2011,9788971846643,아813.7-11-707
2012-08,,초등고학년,아빠는 오늘도 학교에 왔다! : 이정아 동화집,문학,글쓴이: 이정아 ;그린이: 오윤화,해와나무,2012,9788962680874,아813.7-12-105
2012-07,,초등고학년,특종 20세기 한국사 : 2. 일제 강점과 독립운동,역사,"이광희 글; 이상규, 조재석, 김소희 그림",한솔교육,2012,9788953583757,아911-12-9-2
2012-07,,초등고학년,(과학선생님이 들려주는) 지구온난화 이야기,순수과학,이광렬 편저,일진사,2012,9788942912629,아400-11-78-6
2012-07,,초등고학년,대한민국 임시 정부와 김구,역사,이정범 글 ;이용규 그림,김영사,2012,9788934956334,아911-11-59-7
2012-06,,초등고학년,나리초등학교 스캔들 : 하은경 장편동화,문학,지은이: 하은경 ;그린이: 오승민,한겨레출판,2012,9788984315655,아813.7-12-175
2012-06,,초등고학년,법은 왜 필요할까요?,사회과학,글: 정수현 ;그림: 이주희,나무생각,2012,9788959372683,아360-12-2
2012-06,,초등고학년,(쿵!) 소리로 깨우는 과학,순수과학,안토니오 피셰티 글 ;마리옹 퓌에슈 그림 ;이충호 옮김,다림,2012,9788961770538,아424-12-1
2012-05,,초등고학년,꼴찌에서 일등까지 : 세상을 변화시킨 리더들의 어린시절,역사,글: 이정 ;그림: 이지은,자유로운상상,2012,9788990805607,아990-12-6
2012-05,,초등고학년,그러니까 역사가 필요해,역사,"앙투안 사바 글 ;핀조,송진욱 그림 ;박나리 옮김",노란상상,2011,9788997367009,아900-11-1
2012-05,,초등고학년,"뭐, 돌멩이가 보물이라고?",역사,원저: 신창수 ;글: 황은주 ;그림: 길고은이,그린북,2011,9788955882315,아902-12-1
2012-05,,초등고학년,(동화 작가 조성자와 떠나는) 대영 박물관,역사,조성자 글·사진 ;마이자 그림,시공사,2011,9788952763693,아909-12-17
2012-04,,초등고학년,(빛나는 감각으로 세상을 설계한) 디자이너,역사,질 브라이언트 지음 ;전미정 옮김,이론과실천,2011,9788931380767,아990.94-9-1-16
2012-04,,초등고학년,돌고 도는 경제 : 인물로 보는 경제 이야기,사회과학,"글: 서지원,정우진,나혜원,조선학,유시나 ;그림: 엄수지",루크하우스,2011,9788997174140,아320-12-1
2012-04,,초등고학년,그래서 이런 지명이 생겼대요,역사,우리누리 글 ;이경석 그림,길벗스쿨,2011,9788962223804,아980-12-1
2012-04,,초등고학년,나는 조선의 외교관이다 : 세종시대 문화외교를 이끈 전설적 외교관 이예 이야기,역사,최정희 지음 ;서윤아 그림,일월서각,2011,9788974402433,아998.3-12-2
2012-03,,초등고학년,신화 속의 과학,종교,이인식 지음,고즈윈,2011,9788992975605,아219-11-12
2012-03,,초등고학년,엄청나게 시끄러운 폴레케 이야기. 1-2,문학,글쓴이: 휘스 카위어 ;옮긴이: 김영진,비룡소,2011,9788949121314,아859.3-11-24-1-2
2012-03,,초등고학년,지도 없이 떠나는 101일간의 음식의 세계사,사회과학,글 : 박영수  ; 그림 : 노기동 그림,영교출판,2011,9788983894786,-
2012-03,,초등고학년,"안녕, 그림자 : 이은정 장편동화",문학,지은이: 이은정 ;그린이: 이지선,창비,2011,9788936442644,아813.7-11-571
2012-02,,초등고학년,(어린이를 위한) 지도 밖으로 행군하라. 1-2,문학,한비야 글 ;김무연 그림,푸른숲,2011,9788971846681,아816.7-11-7-1
2012-02,,초등고학년,고대 이집트 : 내 손으로 뚝딱뚝딱 배우는 역사,역사,카멜라 밴 블릿 지음 ;김창희 그림 ;위문숙 옮김,우리교육,2011,9788980404445,아931-11-2
2012-02,,초등고학년,(정선의 진경산수화로 배우는) 옛 그림속 자연,예술,최석조 지음,아트북스,2011,9788961960908,아653-11-27
2012-01,,초등고학년,싫어요! : 흑인 민권 운동의 역사를 새로 쓴 한마디,사회과학,글: 파올라 카프리올로 ;그림: 이우건 ;옮김: 김태은,초록개구리,2011,9788992161336,아342-11-9
2012-01,,초등고학년,착한 소비가 뭐예요? : 어린이가 꼭 알아야 할 윤리적 소비,사회과학,"글: 서지원,정우진,나혜원,조선학 ;그림: 박정인",루크하우스,2011,9788997174010,아335-11-1
2012-01,,초등고학년,독일인의 사랑,문학,글: 프리드리히 막스 뮐러 ;엮음: 변우만 ;그림: 노소연,대교,2011,9788939527799,아808.3-11-43-30
2012-01,,초등고학년,"왜, 독감은 전쟁보다 독할까 : 세계사를 바꾼 전염병들",기술과학,브린 바너드 글·그림 ;김율희 옮김,다른,2011,9788992711487,아517-11-3
2011-12,,초등고학년,꿀벌이 사라지고 있다 : 꿀벌이 전하는 지구 환경 보고서,,로리 그리핀 번스 글 ;엘런 해러사이모위츠 사진 ;정현상 옮김,푸른책들,2011,9788961702249,아495-11-9
2011-12,,초등고학년,외톨이 파울과 한지붕 열 가족,문학,페터 헤르틀링 글 ;무타보어 옮김,시공사,2011,9788952762733,아853-11-120
2011-12,,초등고학년,그러니까 수학이 필요해,자연과학,"로뱅 자메 글 ;핀조,송진욱 그림 ;박나리 옮김",노란상상,2011,9788996433095,아410-11-170
2011-12,,초등고학년,서툴러도 괜찮아,문학,카렌 쿠시맨 지음 ;배미자 옮김,다른,2011,9788992711494,아843-11-427
2011-11,,초등고학년,산과 달이 만나는 곳,문학,그레이스 린 쓰고 그림 ;최순희 옮김,봄나무,2011,9788992026635,아843-11-47
2011-11,,초등고학년,화폐로 보는 이웃나라 세계유산. 02. 아시아와 아프리카·오세아니아 편,사회과학,"배원준,김온유 글 ;신명환 그림",꿈꾸는사람들,2011,9788994136608,아327-11-2
2011-11,,초등고학년,세계사를 바꾼 7가지 결정적 순간들,역사,필립 윌킨슨 지음 ;하정임 옮김,다른,2011,9788992711449,아909-11-29
2011-11,,초등고학년,불에 탄 나무토막 같구나 아스케,문학,레이프 에스페르 안데르센 글 ;울리치 뢰싱 그림 ;김일형 옮김,보림출판사,2011,9788943308704,아859.81-11-13
2011-11,,초등고학년,교과서 속 우리 옛법 이야기,사회과학,글: 책빛 편집부 ;그림: 정수영,책빛,2011,9788962190977,아360-11-2
2011-10,,초등고학년,(난감한 철학적 질문을 명쾌하게 풀어 주는) 어린이 윤리학,철학,율리아 크놉 지음 ;카트리나 랑에 그림 ;김세나 옮김,명진출판,2011,9788976776471,아190-11-4
2011-10,,초등고학년,잃어버린 일기장 : 전성현 장편동화,문학,지은이: 전성현 ;그린이: 조성흠,창비,2011,9788936442637,아813.7-11-317
2011-10,,초등고학년,생물 다양성 : 초록별 지구가 꿈꾸는 행복한 생태계,순수과학,카트린 스테른 글 ;벤 르베그 그림 ;이충호 옮김,다림,2011,9788961770439,아472-11-16
2011-10,,초등고학년,오르락내리락 온도를 바꾸는 열,순수과학,글: 임수현 ;그림: 김명호,웅진씽크빅,2011,9788901126302,아408-10-3-8
2011-10,,초등고학년,(중학생이 되기 전에 꼭 알아야 할) 동양 철학자 18명의 이야기,철학,글: 이종란 ;그림: 장혜원,그린북,2011,9788955882254,아150-11-1
2011-09,,초등고학년,개혁의 정몽주냐 혁명의 정도전이냐,역사,글: 볕드는 마루 ;그림: 김영호,마들,2011,9788996441670,아911-11-29
2011-09,,초등고학년,공부가 되는 유럽 이야기,역사,지음: 글공작소,아름다운사람들,2011,9788965131007,아920-11-1
2011-09,,초등고학년,세계사를 바꾼 7가지 놀라운 생각들,순수과학,글렌 머피 지음 ;하정임 옮김,다른,2011,9788992711432,아400-11-67
2011-09,,초등고학년,옹기종기 우리 옹기 : 삶과 지혜가 담긴 우리 항아리,예술,글과 사진: 한향림옹기박물관 ;그림: 심승희,현암사,2011,9788932373010,아631-11-2
2011-09,,초등고학년,세계 지도를 바꾼 탐험가,역사,햇살과나무꾼 지음 ; 여미경 그림,아이세움,2011,9788937846458,아990-11-22
2011-08,,초등고학년,초등 4학년부터 시작하는 자기주도학습법,사회과학,이지은 지음,팜파스,2011,9788993195620,아373-11-33
2011-08,,초등고학년,명왕성을 통해 본 행성 이야기 : 우주세대를 위한 천문학 입문서,,일레인 스콧 글 ;홍전 옮김,내인생의책,2011,9788991813823,아443-11-9
2011-08,,초등고학년,나무를 심은 사람,문학,장 지오노 지음 ;채혜원 편역 ;이정혜 그림,새터,2011,9788987175744,아863-11-63
2011-08,,초등고학년,하나뿐인 친구,문학,실뱅 뫼니에 지음 ;엘리자베스 E. 파스칼 그림 ;유병수 옮김,별천지,2011,9788994041377,아863-11-73
2011-08,,초등고학년,세상을 바꾼 글로벌리더 50인의 특강,사회과학,김덕영 글·그림,북이십일 아울북,2011,9788950928032,아300-11-9
2011-07,,초등고학년,(책벌레 선생님의) 습관을 바꾸는 책,총류,김현태 글 ;김명호 그림 ;강승임 도움글 및 도서추천,김영사,2011,9788934947134,아029-11-10
2011-07,,초등고학년,들쑥 날쑥 속마음을 다스리는 이야기,문학,김민화 글 ;오윤화 그림,문학동네,2011,9788954614160,아813.7-11-171
2011-07,,초등고학년,사랑예보,문학,김애란 지음 ; 이영림 그림,가람어린이,2011,9788993900125,아813.7-11-200
2011-07,,초등고학년,(어린이를 위한) 정의란 무엇인가,철학,안미란 글 ;정진희 그림 ;조광제 도움글,김영사,2011,9788934950523,아193-11-2
2011-07,,초등고학년,(공부가 되는) 공룡 백과,순수과학,지음: 글공작소 ;그림: 장은경,아름다운사람들,2011,9788965130864,아457-11-10
2011-06,,초등고학년,패션을 보면 세계사가 보인다 : 최초의 가죽옷에서 에코 패션까지,기술과학,피오나 맥도널드 글 ;김현좌 옮김,내인생의책,2011,9788991813427,아592-11-1
2011-06,,초등고학년,사탕이 싫어,문학,"수지 모건스턴,마야 고티에 글 ;배현정 그림 ;윤경 옮김",크레용하우스,2011,9788955472004,아863-11-34
2011-06,,초등고학년,옥이야 진메야 : 김용택 장편동화,문학,지은이 김용택 ;그린이 정순희,살림출판사,2011,9788952215475,아813.6-11-40
2011-06,,초등고학년,이리오너라! 옛날옛적 관혼상제 : 교과서 속 관혼상제 이야기,사회과학,글: 김경희 ;그림: 이덕진,조선에듀케이션,2011,9788993499704,아384-11-2
2011-06,,초등고학년,올가의 편지 : 송마리 동화집,문학,지은이: 송마리 ;그린이: 문지후,창비,2011,9788936442620,아813.7-11-166
2011-05,,초등고학년,오바마 대통령에게 배우는 초등영어,어학,"서희정,이혜경 지음 ;박로사 그림",명진출판,2011,9788976776433,아740-11-10
2011-05,,초등고학년,(초등학교 때 꼭 알아야 할) 지리100,역사,류창기 글 ;조안나 그림,예림당,2011,9788930233132,아980-11-3
2011-05,,초등고학년,나무를 껴안아 숲을 지킨 사람들 : 유네스코와 함께 만나는 아시아의 자연과 문화,순수과학,"글쓴이: 김웅서,이옥순,이태주,제종길,진필수,홍석준 ;그린이: 심윤정,이지선,강우근,김선진 ;엮음: 유네스코 아시아태평양 국제이해교육원",웅진씽크빅,2011,9788901116815,아472-11-3
2011-05,,초등고학년,책벌레들의 책 없는 방학,문학,힐러리 매케이 글 ;김영미 그림 ;지혜연 옮김,시공사,2011,9788952760784,아843-11-82
2011-04,,초등고학년,세상을 뒤흔든 25인의 개혁가들,역사,"프랑시 미지오,안 블랑샤르 글 ;세르주 블로크 그림 ;권명희 옮김",녹색지팡이&프레스,2011,9788994780016,아990-11-2
2011-04,,초등고학년,종이친구,문학,엘렌 몽타르드르 글 ;김보미 그림 ;김주경 옮김,김영사,2011,9788934941729,아863-11-12
2011-04,,초등고학년,(천 가지 표정이 있는 나라)인도 이야기,역사,이재숙 글 ;박레지나 그림,미래엔,2010,9788937844799,아915-11-1
2011-04,,초등고학년,(유네스코와 함께 떠나는) 다문화 속담 여행 : 아시아 여덟 나라 이야기,사회과학,기획: 유네스코 아시아태평양 국제이해교육원 ;그림: 김영순,대교출판,2011,9788939527737,아388-11-5
2011-04,,초등고학년,천재 의사 데터 이야기,문학,글쓴이: 톤 텔레헌 ;그린이: 헤르다 덴도번 ;옮긴이: 배정희,토마토하우스,2010,9788992089838,아859.3-11-1
2011-03,,초등고학년,(다 알지만 잘 모르는) 11가지 한글 이야기 : 창제에서 현재까지 한글에 대한 모든 것,어학,"원저: 최경봉,시정곤,박영준 ;글: 배유안 ;그림: 정우열",책과함께,2010,9788991221710,아711-10-14
2011-03,,초등고학년,(자기주도학습을 위한) 어린이 메모 습관,철학,지은이: 박은교 ;그린이: 유명희,꿈꾸는사람들,2010,9788994136134,아199-10-55
2011-03,,초등고학년,(장애를 넘어 인류애에 이른) 헬렌 켈러,역사,권태선 글 ;원혜영 그림,창비,2010,9788936446093,아998.3-10-32
2011-03,,초등고학년,33명의 칠레 광부들,문학,글: 정대근 ;그림: 박준우,리젬,2010,9788992826464,아813.7-11-28
2011-02,,초등고학년,역사 논쟁,역사,최영민 글 ;오성봉 그림,풀빛,2010,9788974746551,아910-10-3
2011-02,,초등고학년,(아껴야 행복한) 자원 이야기,사회과학,지은이: 우미아 ;그린이: 이해정,미래엔,2010,9788937845697,아321-10-43
2011-02,,초등고학년,열두 살 내 인생의 헛발질,문학,노혜영 글 ;박윤희 그림,김영사,2010,9788934944560,아813.7-10-608
2011-02,,초등고학년,쉿! 비밀이야,문학,마리안느 머스그로브 지음 ;김호정 옮김,책속물고기,2010,9788994621043,아843-10-452
2011-02,,초등고학년,교과서 속 우리 신화 이야기 : 우리 신화로 배우는 나라 탄생의 이야기,역사,글: 책빛 편집부 ;그림: 송수정,책빛,2010,9788962190946,아911-10-88
2011-01,,초등고학년,나는 말더듬이예요 : 이윤학 장편동화,문학,이윤학 장편동화 ;전종문 그림,랜덤하우스코리아,2010,9788925539706,아813.7-10-415
2011-01,,초등고학년,(어린이를 위한) 책의 역사,총류,기획·글: 박숙정 외 주니어김영사 ;그림: 정해영,김영사,2010,9788934925606,아012-10-3
2011-01,,초등고학년,위인들의 책상,역사,강량원 글 ;강진 그림,산수야,2010,9788980972210,아990-10-70
2011-01,,초등고학년,안녕하세요 장자 : 장자에게 배우는 큰 생각 큰 마음 이야기,철학,글: 김정빈 ;그림: 최영란,처음주니어,2010,9788961552325,아152-10-7
2011-01,,초등고학년,위대한 평화주의자 20인,역사,"켄 벨러,헤더 체이스 글 ;이종훈 옮김",푸른나무,2010,9788974141431,아990-10-69
2011-01,,초등고학년,(지도 없이 떠나는 101일간의) 우주 한 바퀴,순수과학,박영수 노기동,영교출판,2010,9788983894748,-
2011-01,,초등고학년,당당해질 거야 : 열세 살 황아리의 이야기,문학,백은하 글 ;이경하 그림,크레용하우스,2010,9788955472257,아813.7-10-490
2010-12,,초등고학년,세계자연유산 제주 : 부모와 함께 읽는 화산섬 이야기,역사,글: 박범준,비틀북스,2010,9788992158329,아911.99-10-1
2010-12,,초등고학년,(한 권으로 풀어 쓴) 이야기 미국사,역사,"우리미래역사체험학습 강사진 엮음 ;권현숙,이연주,최주영 그림",청솔,2010,9788972233046,아942-10-1
2010-12,,초등고학년,(유네스코가 선정한) 한국의 세계 유산,역사,이경덕 글,미래엔 컬처그룹,2010,9788937845956,아911-10-75
2010-12,,초등고학년,"맨발의 꿈 : 하루 1달러, 짝퉁 축구화로 시작된 통티모르 아이들의 기적 같은 이야기!",문학,"주경희 글 ;한재홍 그림 ;캠프B,쇼박스 원작",북스토리,2010,9788993480559,아813.6-10-133
2010-12,,초등고학년,(초록별 지구에 싹튼 희망) 제인 구달 이야기,역사,조영권 글 ;김상인 그림,웅진씽크빅,2010,9788901110134,아990-7-205-6
2010-11,,초등고학년,(구불구불) 초등학생을 위한 강 이야기,순수과학,글: 박상재 ;그림: 방정혁,서울교육,2010,9788983782885,아472-10-110
2010-11,,초등고학년,둥글둥글 지구촌 국제 구호 이야기,사회과학,이수한 글 ;유남영 그림,풀빛,2010,9788974746520,아338-10-2
2010-11,,초등고학년,첫사랑 진행 중,문학,베치 바이어스 글 ;박진아 그림 ;김영욱 옮김,보림출판사,2010,9788943308094,아843-10-333
2010-11,,초등고학년,동동 동대문을 열어라! : 지하철로 떠나는 구석구석 서울 역사·문화 체험,역사,"글쓴이: 김경화,안지혜 ;그린이: 이남지 ;찍은이: 윤주열",파란자전거,2010,9788994258072,아911-10-68
2010-11,,초등고학년,(한무영 교수가 들려주는) 빗물의 비밀,기술과학,글: 한무영 ;그림: 소복이,리젬,2010,9788992826419,아539-10-30
2010-11,,초등고학년,(거상) 김만덕 : 정직하게 벌고 아낌없이 나누었던 진정한 부자,역사,글: 민병덕 ;그림: 윤종태,살림출판사,2010,9788952213778,아998.3-10-9
2010-11,,초등고학년,특별한 이웃 = □ : 남상순 장편동화,문학,남상순 지음 ;서영경 그림,사계절출판사,2010,9788958285038,아813.7-10-352
2010-10,,초등고학년,(코박사와 함께 떠나는) 다문화 여행,역사,엮음: 유네스코 아시아·태평양 국제이해교육원 ;그림: 김경아,대교출판,2010,9788939524767,아981-10-1
2010-10,,초등고학년,다윈 : 세상을 뒤흔든 놀라운 발견,역사,카트린 하네만 글 ;우베 마이어 그림 ;김지선 옮김,한겨레출판,2010,9788984313866,아990-10-5-3
2010-10,,초등고학년,생명을 살리는 윤리적 소비 : 내가 물건을 잘 사야 지구가 건강해요,사회과학,정원각 외 글 ;이상미 그림,상수리나무,2010,9788993397178,아335-10-3
2010-10,,초등고학년,염소가 사라진 길,문학,로사 조든 글 ;유영희 옮김,산수야,2010,9788980972180,아843-10-307
2010-10,,초등고학년,평화를 꿈꾸는 곳 유엔으로 가자,사회과학,유엔과 국제활동 정보센터 글 ;김효진 그림,한겨레출판,2010,9788984314108,아361-10-3
2010-10,,초등고학년,(법정 스님의) 아름다운 무소유,역사,곽영미 지음 ;최주아 그림,북오션,2010,9788993662252,아990-10-13-4
2010-09,,초등고학년,지구를 지키는 쓰레기 전사,문학,샌디 매케이 글 ;한지선 그림 ;전경화 옮김,책과콩나무,2010,9788994077086,아843-10-226
2010-09,,초등고학년,꽃할머니,문학,글·그림: 권윤덕,사계절출판사,2010,9788958284826,아813.7-10-247
2010-09,,초등고학년,너굴할매의 특별한 요리 수업 : 우리나라 음식 문화 이야기,사회과학,글: 이향안 ;그림: 양은아,조선일보교육미디어,2010,9788993499346,아381-10-1
2010-09,,초등고학년,내 머리카락 잘라도 좋아!,문학,야마시타 나미 글 ;고마츠 요시카 그림 ;조영수 옮김,주니어북스,2010,9788996314233,아833.6-10-50
2010-09,,초등고학년,꼬들꼬들 마법의 세계 음식책 : 교과서 속 세계 음식 문화 이야기,사회과학,글: 이향안 ;그림: 김미정,조선에듀케이션,2010,9788993499520,아381-10-4
2010-09,,초등고학년,지구촌 곳곳에 너의 손길이 필요해,사회과학,예영 글 ;황유리 그림,뜨인돌어린이,2010,9788993963175,아361-10-2
2010-09,,초등고학년,빛보다 빠른 꼬부기,문학,이병승 글 ;최정인 그림,살림출판사,2010,9788952214058,아813.7-10-212
2010-09,,초등고학년,우리 옆집에 요정이 산다,문학,제닛 테일러 라일 지음 ;최종훈 옮김,뜨인돌출판사,2010,9788958072775,아843-10-104
2010-08,,초등고학년,(질문하며 노는) 생각 놀이터,철학,지은이: 브누아 마르숑 외 ;그린이: 페기 아당 외 ;옮긴이: 장석훈,미래엔컬처그룹,2010,9788937845727,아108-10-3-2
2010-08,,초등고학년,소리 없는 아이들,문학,황선미 글 ;김동성 그림,웅진씽크빅,2010,9788901106175,아813.7-10-150
2010-08,,초등고학년,(의사를 꿈꾸는 어린이를 위한) 놀라운 의학사,기술과학,예병일 지음 ;오승만 그림,북하우스 퍼블리셔스,2010,9788956054391,아510-10-2
2010-08,,초등고학년,(어린이를 위한) 우리의 선택 : 지구 온난화의 위기를 또 다른 기회로 만드는 힘!,기술과학,앨 고어 지음 ;이충호 옮김,중앙북스,2010,9788927800217,아539-10-8
2010-08,,초등고학년,그 누구보다 특별한 나,문학,노라 롤리 배스킨 지음 ;구계원 옮김,개암나무,2010,9788992844390,아843-10-219
2010-08,,초등고학년,아빠 얼굴이 더 빨갛다 : 김시민 동시집,문학,시: 김시민 ;그림: 이상열,리젬,2010,9788992826358,아811.8-10-35
2010-08,,초등고학년,쇼팽의 음악편지 : 초등학생을 위한 클래식 음악동화,예술,신경애 글 ;조현경 그림,중앙북스,2010,9788927800057,아670-10-3
2010-08,,초등고학년,(조선의 마직막 황녀) 덕혜옹주,문학,원작: 권비영 ;글: 김현태 ;그림: 장윤정,다산북스,2010,9788963702391,아998.9-10-3
2010-07,,초등고학년,별볼일 없는 4학년 : 주디 블룸 장편동화,문학,주디 블룸 지음 ;윤여숙 옮김 ;오승민 그림,창비,2009,9788936441524,아843-10-2
2010-07,,초등고학년,손에 잡히는 사회 교과서. 14. 열두 달 세시 풍속,사회과학,김소정 외 글 ;조명자 그림,길벗스쿨,2010,9788962221695,아300-8-1-14
2010-07,,초등고학년,홀리스 우즈의 그림들,문학,패트리샤 레일리 기프 지음 ;원지인 옮김,푸른책들,2010,9788957982105,아843-15-29
2010-07,,초등고학년,멋진 열두 살,문학,신시아 라일런트 지음 ;최순희 옮김 ;홍기한 그림,문학과지성사,2010,9788932020419,아843-10-214
2010-07,,초등고학년,(괜찮아 괜찮아) 슬퍼도 괜찮아!,철학,제임스 J. 크라이스트 글 ;서영경 그림 ;홍성미 옮김,길벗스쿨,2010,9788962221718,아181-10-4
2010-07,,초등고학년,"으라차차, 시골뜨기 나가신다!",문학,안선모 글 ;조민경 그림,살림출판사,2010,9788952212955,아813.6-9-530-2
